,filename,id_namespace,local_id,persistent_id,size_in_bytes,sha256,md5,uncompressed_size_in_bytes,cell_id,pert_id,pert_mfc_id,pert_iname,pert_dose,pert_dose_unit,pert_time,pert_time_unit,pert_type
0,L1000_LINCS_DCIC_LPROT005_A549_6H_X1_B29_BMS-345541_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT005_A549_6H_X1_B29_BMS-345541_1.00um.tsv.gz,,270517,0ba5f44822398b872d114e9a8b3834a5e30605df5e22c80c7a5a7a314eb6dd8b,b66ee6abc3086a04edca4ed824586767,755289,A549,BRD-K13566078,BRD-K13566078,BMS-345541,1.0,um,6,h,trt_cp
1,L1000_LINCS_DCIC_LPROT003_A375_6H_X1.A2_B22_lenalidomide_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_A375_6H_X1.A2_B22_lenalidomide_1.00um.tsv.gz,,275245,1cd7a647f92c78b0bc6b94a9736db36aa16f31192ad4fc37459d652b49cc6462,325b03dfda75638f058cc51149e534f6,757532,A375,BRD-A17883755,BRD-A17883755,lenalidomide,1.0,um,6,h,trt_cp
2,L1000_LINCS_DCIC_LPROT001_MCF7_6H_X1_B20_cpi-169_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_MCF7_6H_X1_B20_cpi-169_1.00um.tsv.gz,,200039,fecf554a102f215bd69bbdd192aefa7436e25b344a2d90754a71898aa21f763a,1ac769d093c37d5a29ff74ec3df73fed,533535,MCF7,BRD-A48881734,BRD-A48881734,cpi-169,1.0,um,6,h,trt_cp
3,L1000_LINCS_DCIC_LPROT002_A549_6H_X1_B22_BIX-01294_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT002_A549_6H_X1_B22_BIX-01294_10.00um.tsv.gz,,272294,1e1a80d846c057299f76fb3d45850add391e405497339347ab6d203fbd638b15,19c7e5a5567b35f28d754d28e413c4f8,756880,A549,BRD-K26818574,BRD-K26818574,BIX-01294,10.0,um,6,h,trt_cp
4,L1000_LINCS_DCIC_LPROT001_A375_6H_X1_B20_belinostat_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_A375_6H_X1_B20_belinostat_10.00um.tsv.gz,,271661,cf794e25118a10cf528b8aa33e527b948841ad85a2f60e88099bfa08001615cc,2299ca53697fc4abe8e812b020d77969,755652,A375,BRD-K17743125,BRD-K17743125,belinostat,10.0,um,6,h,trt_cp
5,L1000_LINCS_DCIC_LPROT005_PC3_6H_X1_B29_palbociclib_0.50um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT005_PC3_6H_X1_B29_palbociclib_0.50um.tsv.gz,,198704,8cd90548d1cc990fa2d0fdebb0d02c14c5b22f5b20fd593a1a7d5a29a40db0ef,0096bc1b1cac11b7b3efde5da3622745,533575,PC3,BRD-K51313569,BRD-K51313569,palbociclib,0.5,um,6,h,trt_cp
6,L1000_LINCS_DCIC_LPROT003_PC3_6H_X1.A2_B22_compound_e_0.10um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_PC3_6H_X1.A2_B22_compound_e_0.10um.tsv.gz,,274467,6578f7c920adde0cba008894e060bd52cca4ceddf609ac3c0ba5def7b25cdb78,fb55412c03a1e17911c77ffbfe18d81d,757588,PC3,BRD-A55453956,BRD-A55453956,compound e,0.1,um,6,h,trt_cp
7,L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_curcumin_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_curcumin_1.00um.tsv.gz,,272811,4e657d44aa27d72d0438e02ba3107e22d26abe8eafc365f9a6bd5aef966391a8,0b89fcc7ec72dd99e71b3d9628ac2636,756933,A549,BRD-K74148702,BRD-K74148702,curcumin,1.0,um,6,h,trt_cp
8,L1000_LINCS_DCIC_LPROT004_MCF7_6H_X1_B32_NVP-BEZ235_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_MCF7_6H_X1_B32_NVP-BEZ235_1.00um.tsv.gz,,271594,22ac4c2396dae6176857e15eba9f8b1f22f4a1f16f6447e6b6e9c45d3e525de2,81e8ef3da64fd0e29654c902a6a081ad,757764,MCF7,BRD-K12184916,BRD-K12184916,NVP-BEZ235,1.0,um,6,h,trt_cp
9,L1000_LINCS_DCIC_LPROT001_PC3_6H_X1_B20_BIX-01294_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_PC3_6H_X1_B20_BIX-01294_10.00um.tsv.gz,,271795,d47f36e04527a595ac87ba79bbcb766afb512aa84f982d8acf6b1644bb127611,aa159cbc26029570e8a74251e2a642c9,755633,PC3,BRD-K26818574,BRD-K26818574,BIX-01294,10.0,um,6,h,trt_cp
